"","FROM","TO","prob"
"1","AMPARA","BADULLA",0.125
"2","AMPARA","GALLE",0.25
"3","AMPARA","MATARA",0.375
"4","AMPARA","NUWARA ELIYA",0.125
"5","AMPARA","RATNAPURA",0.125
"6","ANURADHAPURA","BADULLA",0.0152671755725191
"7","ANURADHAPURA","COLOMBO",0.0152671755725191
"8","ANURADHAPURA","GALLE",0.0534351145038168
"9","ANURADHAPURA","GAMPAHA",0.00763358778625954
"10","ANURADHAPURA","HAMBANTOTA",0.0152671755725191
"11","ANURADHAPURA","JAFFNA",0.0687022900763359
"12","ANURADHAPURA","KANDY",0.083969465648855
"13","ANURADHAPURA","KEGALLE",0.0229007633587786
"14","ANURADHAPURA","KILINOCHCHI",0.00763358778625954
"15","ANURADHAPURA","KURUNEGALA",0.00763358778625954
"16","ANURADHAPURA","MATALE",0.389312977099237
"17","ANURADHAPURA","MATARA",0.0229007633587786
"18","ANURADHAPURA","NUWARA ELIYA",0.00763358778625954
"19","ANURADHAPURA","POLONNARUWA",0.244274809160305
"20","ANURADHAPURA","RATNAPURA",0.00763358778625954
"21","ANURADHAPURA","TRINCOMALEE",0.0687022900763359
"22","BADULLA","AMPARA",0.00769230769230769
"23","BADULLA","COLOMBO",0.00769230769230769
"24","BADULLA","GALLE",0.115384615384615
"25","BADULLA","GAMPAHA",0.00769230769230769
"26","BADULLA","HAMBANTOTA",0.215384615384615
"27","BADULLA","KALUTARA",0.00769230769230769
"28","BADULLA","KANDY",0.123076923076923
"29","BADULLA","KEGALLE",0.00769230769230769
"30","BADULLA","MATALE",0.0230769230769231
"31","BADULLA","MATARA",0.130769230769231
"32","BADULLA","MONARAGALA",0.161538461538462
"33","BADULLA","NUWARA ELIYA",0.130769230769231
"34","BADULLA","POLONNARUWA",0.00769230769230769
"35","BADULLA","RATNAPURA",0.0538461538461538
"36","BADULLA","TRINCOMALEE",0.00769230769230769
"37","COLOMBO","ANURADHAPURA",0.0300751879699248
"38","COLOMBO","BADULLA",0.0225563909774436
"39","COLOMBO","GALLE",0.285714285714286
"40","COLOMBO","GAMPAHA",0.157894736842105
"41","COLOMBO","HAMBANTOTA",0.0075187969924812
"42","COLOMBO","JAFFNA",0.0150375939849624
"43","COLOMBO","KALUTARA",0.037593984962406
"44","COLOMBO","KANDY",0.210526315789474
"45","COLOMBO","KEGALLE",0.0676691729323308
"46","COLOMBO","MATALE",0.150375939849624
"47","COLOMBO","MATARA",0.0300751879699248
"48","COLOMBO","NUWARA ELIYA",0.0150375939849624
"49","COLOMBO","POLONNARUWA",0.0075187969924812
"50","COLOMBO","PUTTALAM",0.0075187969924812
"51","GALLE","ANURADHAPURA",0.0279329608938547
"52","GALLE","BADULLA",0.0502793296089385
"53","GALLE","COLOMBO",0.279329608938547
"54","GALLE","GAMPAHA",0.0726256983240224
"55","GALLE","HAMBANTOTA",0.0446927374301676
"56","GALLE","KALUTARA",0.0670391061452514
"57","GALLE","KANDY",0.0837988826815642
"58","GALLE","KEGALLE",0.0335195530726257
"59","GALLE","MATALE",0.0335195530726257
"60","GALLE","MATARA",0.307262569832402
"61","GALLE","MONARAGALA",0.0223463687150838
"62","GALLE","NUWARA ELIYA",0.0279329608938547
"63","GALLE","RATNAPURA",0.00558659217877095
"64","GAMPAHA","AMPARA",0.00314465408805031
"65","GAMPAHA","ANURADHAPURA",0.0974842767295598
"66","GAMPAHA","BADULLA",0.0324947589098532
"67","GAMPAHA","COLOMBO",0.168763102725367
"68","GAMPAHA","GALLE",0.156184486373166
"69","GAMPAHA","HAMBANTOTA",0.0324947589098532
"70","GAMPAHA","JAFFNA",0.00209643605870021
"71","GAMPAHA","KALUTARA",0.0125786163522013
"72","GAMPAHA","KANDY",0.135220125786164
"73","GAMPAHA","KEGALLE",0.0555555555555556
"74","GAMPAHA","KURUNEGALA",0.00209643605870021
"75","GAMPAHA","MATALE",0.145702306079665
"76","GAMPAHA","MATARA",0.0754716981132075
"77","GAMPAHA","MONARAGALA",0.00628930817610063
"78","GAMPAHA","NUWARA ELIYA",0.0314465408805031
"79","GAMPAHA","POLONNARUWA",0.0324947589098532
"80","GAMPAHA","PUTTALAM",0.00838574423480084
"81","GAMPAHA","RATNAPURA",0.010482180293501
"82","GAMPAHA","TRINCOMALEE",0.00628930817610063
"83","HAMBANTOTA","AMPARA",0.0111111111111111
"84","HAMBANTOTA","ANURADHAPURA",0.0111111111111111
"85","HAMBANTOTA","BADULLA",0.122222222222222
"86","HAMBANTOTA","BATTICALOA",0.0111111111111111
"87","HAMBANTOTA","GALLE",0.266666666666667
"88","HAMBANTOTA","KANDY",0.0111111111111111
"89","HAMBANTOTA","MATALE",0.0222222222222222
"90","HAMBANTOTA","MATARA",0.444444444444444
"91","HAMBANTOTA","MONARAGALA",0.0777777777777778
"92","HAMBANTOTA","NUWARA ELIYA",0.0666666666666667
"93","HAMBANTOTA","RATNAPURA",0.0111111111111111
"94","JAFFNA","ANURADHAPURA",0.384615384615385
"95","JAFFNA","COLOMBO",0.0769230769230769
"96","JAFFNA","GAMPAHA",0.153846153846154
"97","JAFFNA","MATALE",0.0769230769230769
"98","JAFFNA","TRINCOMALEE",0.307692307692308
"99","KALUTARA","ANURADHAPURA",0.0434782608695652
"100","KALUTARA","COLOMBO",0.260869565217391
"101","KALUTARA","GALLE",0.391304347826087
"102","KALUTARA","GAMPAHA",0.0869565217391304
"103","KALUTARA","HAMBANTOTA",0.0869565217391304
"104","KALUTARA","KANDY",0.0869565217391304
"105","KALUTARA","MATALE",0.0434782608695652
"106","KALUTARA","MATARA",0.0869565217391304
"107","KALUTARA","MONARAGALA",0.0434782608695652
"108","KANDY","AMPARA",0.00366300366300366
"109","KANDY","ANURADHAPURA",0.021978021978022
"110","KANDY","BADULLA",0.0805860805860806
"111","KANDY","BATTICALOA",0.00366300366300366
"112","KANDY","COLOMBO",0.0549450549450549
"113","KANDY","GALLE",0.131868131868132
"114","KANDY","GAMPAHA",0.0183150183150183
"115","KANDY","HAMBANTOTA",0.0256410256410256
"116","KANDY","KALUTARA",0.00732600732600733
"117","KANDY","KEGALLE",0.10989010989011
"118","KANDY","MATALE",0.172161172161172
"119","KANDY","MATARA",0.0512820512820513
"120","KANDY","MONARAGALA",0.032967032967033
"121","KANDY","NUWARA ELIYA",0.315018315018315
"122","KANDY","POLONNARUWA",0.0146520146520147
"123","KANDY","RATNAPURA",0.0183150183150183
"124","KANDY","TRINCOMALEE",0.00732600732600733
"125","KEGALLE","ANURADHAPURA",0.0396039603960396
"126","KEGALLE","BADULLA",0.0198019801980198
"127","KEGALLE","COLOMBO",0.0495049504950495
"128","KEGALLE","GALLE",0.0594059405940594
"129","KEGALLE","GAMPAHA",0.0396039603960396
"130","KEGALLE","KALUTARA",0.0198019801980198
"131","KEGALLE","KANDY",0.326732673267327
"132","KEGALLE","MATALE",0.227722772277228
"133","KEGALLE","MONARAGALA",0.0396039603960396
"134","KEGALLE","NUWARA ELIYA",0.108910891089109
"135","KEGALLE","POLONNARUWA",0.0495049504950495
"136","KEGALLE","RATNAPURA",0.0396039603960396
"137","MATALE","AMPARA",0.00373134328358209
"138","MATALE","ANURADHAPURA",0.0858208955223881
"139","MATALE","BADULLA",0.0335820895522388
"140","MATALE","BATTICALOA",0.00373134328358209
"141","MATALE","COLOMBO",0.00373134328358209
"142","MATALE","GALLE",0.0559701492537313
"143","MATALE","GAMPAHA",0.0298507462686567
"144","MATALE","HAMBANTOTA",0.0261194029850746
"145","MATALE","KALUTARA",0.00373134328358209
"146","MATALE","KANDY",0.48134328358209
"147","MATALE","KEGALLE",0.0522388059701493
"148","MATALE","MATARA",0.0335820895522388
"149","MATALE","MONARAGALA",0.00746268656716418
"150","MATALE","NUWARA ELIYA",0.0447761194029851
"151","MATALE","POLONNARUWA",0.26865671641791
"152","MATALE","TRINCOMALEE",0.0223880597014925
"153","MATARA","AMPARA",0.00735294117647059
"154","MATARA","ANURADHAPURA",0.00735294117647059
"155","MATARA","BADULLA",0.0588235294117647
"156","MATARA","COLOMBO",0.0220588235294118
"157","MATARA","GALLE",0.669117647058823
"158","MATARA","GAMPAHA",0.0661764705882353
"159","MATARA","HAMBANTOTA",0.102941176470588
"160","MATARA","KALUTARA",0.0220588235294118
"161","MATARA","KANDY",0.0220588235294118
"162","MATARA","KEGALLE",0.00735294117647059
"163","MATARA","MATALE",0.0294117647058824
"164","MATARA","MONARAGALA",0.0147058823529412
"165","MATARA","NUWARA ELIYA",0.0294117647058824
"166","MATARA","RATNAPURA",0.0367647058823529
"167","MONARAGALA","BADULLA",0.104166666666667
"168","MONARAGALA","COLOMBO",0.0416666666666667
"169","MONARAGALA","GALLE",0.125
"170","MONARAGALA","GAMPAHA",0.0416666666666667
"171","MONARAGALA","HAMBANTOTA",0.375
"172","MONARAGALA","MATARA",0.208333333333333
"173","MONARAGALA","NUWARA ELIYA",0.0416666666666667
"174","MONARAGALA","RATNAPURA",0.0833333333333333
"175","NUWARA ELIYA","ANURADHAPURA",0.027027027027027
"176","NUWARA ELIYA","BADULLA",0.364864864864865
"177","NUWARA ELIYA","COLOMBO",0.0405405405405405
"178","NUWARA ELIYA","GALLE",0.108108108108108
"179","NUWARA ELIYA","HAMBANTOTA",0.0608108108108108
"180","NUWARA ELIYA","KALUTARA",0.0135135135135135
"181","NUWARA ELIYA","KANDY",0.141891891891892
"182","NUWARA ELIYA","KEGALLE",0.0135135135135135
"183","NUWARA ELIYA","MATALE",0.027027027027027
"184","NUWARA ELIYA","MATARA",0.0675675675675676
"185","NUWARA ELIYA","MONARAGALA",0.027027027027027
"186","NUWARA ELIYA","POLONNARUWA",0.00675675675675676
"187","NUWARA ELIYA","RATNAPURA",0.121621621621622
"188","NUWARA ELIYA","TRINCOMALEE",0.00675675675675676
"189","POLONNARUWA","ANURADHAPURA",0.0757575757575758
"190","POLONNARUWA","BADULLA",0.0151515151515152
"191","POLONNARUWA","COLOMBO",0.0227272727272727
"192","POLONNARUWA","GALLE",0.0151515151515152
"193","POLONNARUWA","GAMPAHA",0.00757575757575758
"194","POLONNARUWA","JAFFNA",0.00757575757575758
"195","POLONNARUWA","KANDY",0.121212121212121
"196","POLONNARUWA","KEGALLE",0.0151515151515152
"197","POLONNARUWA","MATALE",0.666666666666667
"198","POLONNARUWA","MATARA",0.0151515151515152
"199","POLONNARUWA","NUWARA ELIYA",0.0303030303030303
"200","POLONNARUWA","RATNAPURA",0.00757575757575758
"201","POLONNARUWA","TRINCOMALEE",0.0227272727272727
"202","PUTTALAM","ANURADHAPURA",1
"203","RATNAPURA","ANURADHAPURA",0.024390243902439
"204","RATNAPURA","BADULLA",0.219512195121951
"205","RATNAPURA","GALLE",0.0975609756097561
"206","RATNAPURA","GAMPAHA",0.0487804878048781
"207","RATNAPURA","HAMBANTOTA",0.024390243902439
"208","RATNAPURA","KANDY",0.121951219512195
"209","RATNAPURA","KEGALLE",0.0487804878048781
"210","RATNAPURA","MATARA",0.219512195121951
"211","RATNAPURA","MONARAGALA",0.0975609756097561
"212","RATNAPURA","NUWARA ELIYA",0.170731707317073
"213","TRINCOMALEE","COLOMBO",0.19047619047619
"214","TRINCOMALEE","GALLE",0.142857142857143
"215","TRINCOMALEE","JAFFNA",0.0476190476190476
"216","TRINCOMALEE","KANDY",0.142857142857143
"217","TRINCOMALEE","MATALE",0.333333333333333
"218","TRINCOMALEE","POLONNARUWA",0.142857142857143
