"","FROM","TO","count","sum","prob"
"1","ANURADHAPURA","MATALE",51,131,0.389312977099237
"2","COLOMBO","GALLE",38,133,0.285714285714286
"3","GALLE","COLOMBO",50,179,0.279329608938547
"4","GALLE","MATARA",55,179,0.307262569832402
"5","GAMPAHA","ANURADHAPURA",93,954,0.0974842767295598
"6","GAMPAHA","COLOMBO",161,954,0.168763102725367
"7","GAMPAHA","GALLE",149,954,0.156184486373166
"8","GAMPAHA","KANDY",129,954,0.135220125786164
"9","GAMPAHA","KEGALLE",53,954,0.0555555555555556
"10","GAMPAHA","MATALE",139,954,0.145702306079665
"11","GAMPAHA","MATARA",72,954,0.0754716981132075
"12","HAMBANTOTA","MATARA",40,90,0.444444444444444
"13","KANDY","GALLE",36,273,0.131868131868132
"14","KANDY","MATALE",47,273,0.172161172161172
"15","KANDY","NUWARA ELIYA",86,273,0.315018315018315
"16","MATALE","KANDY",129,268,0.48134328358209
"17","MATALE","POLONNARUWA",72,268,0.26865671641791
"18","MATARA","GALLE",91,136,0.669117647058823
"19","NUWARA ELIYA","BADULLA",54,148,0.364864864864865
"20","POLONNARUWA","MATALE",88,132,0.666666666666667
