"","TO","FROM","prob","from_lat","from_lon","to_lat","to_lon"
"1","ANURADHAPURA","MATALE",0.0858208955223881,7.4685,80.623688,8.31219,80.418716
"2","ANURADHAPURA","JAFFNA",0.384615384615385,9.66528,80.018517,8.31219,80.418716
"3","ANURADHAPURA","POLONNARUWA",0.0757575757575758,7.93286,81.00808,8.31219,80.418716
"4","ANURADHAPURA","PUTTALAM",1,8.030285,79.829793,8.31219,80.418716
"5","BADULLA","AMPARA",0.125,7.296891,81.679745,6.98469,81.056473
"6","BADULLA","NUWARA ELIYA",0.364864864864865,6.96861,80.783943,6.98469,81.056473
"7","BADULLA","RATNAPURA",0.219512195121951,6.679172,80.402498,6.98469,81.056473
"8","BADULLA","HAMBANTOTA",0.122222222222222,6.12386,81.120552,6.98469,81.056473
"9","COLOMBO","GALLE",0.279329608938547,6.031176,80.215945,6.927079,79.861244
"10","COLOMBO","TRINCOMALEE",0.19047619047619,8.569,81.233002,6.927079,79.861244
"11","COLOMBO","KALUTARA",0.260869565217391,6.58084,79.962921,6.927079,79.861244
"12","COLOMBO","GAMPAHA",0.168763102725367,7.09115,79.999634,6.927079,79.861244
"13","GALLE","KALUTARA",0.391304347826087,6.58084,79.962921,6.031176,80.215945
"14","GALLE","AMPARA",0.25,7.296891,81.679745,6.031176,80.215945
"15","GALLE","GAMPAHA",0.156184486373166,7.09115,79.999634,6.031176,80.215945
"16","GALLE","KANDY",0.131868131868132,7.28444,80.637466,6.031176,80.215945
"17","GALLE","COLOMBO",0.285714285714286,6.927079,79.861244,6.031176,80.215945
"18","GALLE","HAMBANTOTA",0.266666666666667,6.12386,81.120552,6.031176,80.215945
"19","GALLE","MONARAGALA",0.125,6.87227,81.351056,6.031176,80.215945
"20","GALLE","MATARA",0.669117647058823,5.947692,80.548539,6.031176,80.215945
"21","GALLE","TRINCOMALEE",0.142857142857143,8.569,81.233002,6.031176,80.215945
"22","GAMPAHA","COLOMBO",0.157894736842105,6.927079,79.861244,7.09115,79.999634
"23","GAMPAHA","JAFFNA",0.153846153846154,9.66528,80.018517,7.09115,79.999634
"24","GAMPAHA","KALUTARA",0.0869565217391304,6.58084,79.962921,7.09115,79.999634
"25","GAMPAHA","MATARA",0.0661764705882353,5.947692,80.548539,7.09115,79.999634
"26","HAMBANTOTA","KALUTARA",0.0869565217391304,6.58084,79.962921,6.12386,81.120552
"27","HAMBANTOTA","MONARAGALA",0.375,6.87227,81.351056,6.12386,81.120552
"28","HAMBANTOTA","MATARA",0.102941176470588,5.947692,80.548539,6.12386,81.120552
"29","HAMBANTOTA","BADULLA",0.215384615384615,6.98469,81.056473,6.12386,81.120552
"30","KANDY","COLOMBO",0.210526315789474,6.927079,79.861244,7.28444,80.637466
"31","KANDY","ANURADHAPURA",0.083969465648855,8.31219,80.418716,7.28444,80.637466
"32","KANDY","KEGALLE",0.326732673267327,7.25394,80.358223,7.28444,80.637466
"33","KANDY","POLONNARUWA",0.121212121212121,7.93286,81.00808,7.28444,80.637466
"34","KANDY","TRINCOMALEE",0.142857142857143,8.569,81.233002,7.28444,80.637466
"35","KANDY","MATALE",0.48134328358209,7.4685,80.623688,7.28444,80.637466
"36","KANDY","GALLE",0.0837988826815642,6.031176,80.215945,7.28444,80.637466
"37","KANDY","KALUTARA",0.0869565217391304,6.58084,79.962921,7.28444,80.637466
"38","KANDY","NUWARA ELIYA",0.141891891891892,6.96861,80.783943,7.28444,80.637466
"39","MATALE","GAMPAHA",0.145702306079665,7.09115,79.999634,7.4685,80.623688
"40","MATALE","KEGALLE",0.227722772277228,7.25394,80.358223,7.4685,80.623688
"41","MATALE","KANDY",0.172161172161172,7.28444,80.637466,7.4685,80.623688
"42","MATALE","POLONNARUWA",0.666666666666667,7.93286,81.00808,7.4685,80.623688
"43","MATALE","ANURADHAPURA",0.389312977099237,8.31219,80.418716,7.4685,80.623688
"44","MATALE","TRINCOMALEE",0.333333333333333,8.569,81.233002,7.4685,80.623688
"45","MATARA","RATNAPURA",0.219512195121951,6.679172,80.402498,5.947692,80.548539
"46","MATARA","MONARAGALA",0.208333333333333,6.87227,81.351056,5.947692,80.548539
"47","MATARA","HAMBANTOTA",0.444444444444444,6.12386,81.120552,5.947692,80.548539
"48","MATARA","AMPARA",0.375,7.296891,81.679745,5.947692,80.548539
"49","MATARA","BADULLA",0.130769230769231,6.98469,81.056473,5.947692,80.548539
"50","MATARA","GALLE",0.307262569832402,6.031176,80.215945,5.947692,80.548539
"51","MATARA","KALUTARA",0.0869565217391304,6.58084,79.962921,5.947692,80.548539
"52","MONARAGALA","BADULLA",0.161538461538462,6.98469,81.056473,6.87227,81.351056
"53","NUWARA ELIYA","RATNAPURA",0.170731707317073,6.679172,80.402498,6.96861,80.783943
"54","NUWARA ELIYA","KEGALLE",0.108910891089109,7.25394,80.358223,6.96861,80.783943
"55","NUWARA ELIYA","BADULLA",0.130769230769231,6.98469,81.056473,6.96861,80.783943
"56","NUWARA ELIYA","AMPARA",0.125,7.296891,81.679745,6.96861,80.783943
"57","NUWARA ELIYA","KANDY",0.315018315018315,7.28444,80.637466,6.96861,80.783943
"58","POLONNARUWA","ANURADHAPURA",0.244274809160305,8.31219,80.418716,7.93286,81.00808
"59","POLONNARUWA","MATALE",0.26865671641791,7.4685,80.623688,7.93286,81.00808
"60","POLONNARUWA","TRINCOMALEE",0.142857142857143,8.569,81.233002,7.93286,81.00808
"61","RATNAPURA","AMPARA",0.125,7.296891,81.679745,6.679172,80.402498
"62","RATNAPURA","NUWARA ELIYA",0.121621621621622,6.96861,80.783943,6.679172,80.402498
"63","TRINCOMALEE","JAFFNA",0.307692307692308,9.66528,80.018517,8.569,81.233002
